,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1627441200000,312.45,315.69,311.98,312.05,148.91,1627444799999,46575.4328,224,84.6,26473.8323,0
1,1627444800000,312.05,313.0,311.0,311.68,222.02,1627448399999,69222.671,421,129.96,40530.1427,0
2,1627448400000,311.7,327.82,303.32,313.91,933.89,1627451999999,294384.2711,583,501.62,158570.2224,0
3,1627452000000,313.5,313.5,308.7,309.56,253.79,1627455599999,78968.052,419,152.73,47544.2748,0
4,1627455600000,309.57,315.44,309.57,314.2,304.05,1627459199999,95006.6767,570,111.49,34845.0185,0
5,1627459200000,314.38,316.9,311.8,312.6,434.31,1627462799999,136503.8904,888,238.78,75085.858,0
6,1627462800000,312.7,316.53,311.9,316.49,599.02,1627466399999,188145.4923,923,297.36,93466.6256,0
7,1627466400000,316.6,318.12,315.11,315.62,512.19,1627469999999,162101.8905,1483,259.32,82077.9804,0
8,1627470000000,315.45,318.76,315.15,316.92,348.4,1627473599999,110381.0527,958,139.01,44004.034,0
9,1627473600000,317.03,317.44,311.71,311.94,473.47,1627477199999,148965.3271,1196,161.68,50876.3678,0
10,1627477200000,311.93,315.7,311.69,312.94,1363.66,1627480799999,427359.6508,1596,729.53,228726.912,0
11,1627480800000,312.98,313.9,311.99,313.36,476.88,1627484399999,149324.1806,769,144.36,45215.7917,0
12,1627484400000,313.36,314.64,311.8,313.72,705.11,1627487999999,220818.1053,965,158.5,49692.3448,0
13,1627488000000,313.7,315.89,312.76,315.7,1366.93,1627491599999,429765.7675,921,663.12,208609.2694,0
14,1627491600000,315.7,316.38,308.39,309.16,1122.24,1627495199999,350889.3607,1027,292.11,91562.96,0
15,1627495200000,308.85,317.1,307.29,315.74,828.61,1627498799999,259976.6141,1241,343.9,108163.4841,0
16,1627498800000,315.82,316.8,313.4,314.16,521.55,1627502399999,164227.5575,861,255.55,80499.7394,0
17,1627502400000,314.15,314.15,311.5,312.1,1097.04,1627505999999,343122.1267,801,608.04,190188.4594,0
18,1627506000000,312.07,313.24,311.29,312.41,266.77,1627509599999,83267.6947,504,133.05,41538.9939,0
19,1627509600000,312.34,314.47,311.59,312.41,524.27,1627513199999,164223.4215,737,193.16,60509.3586,0
20,1627513200000,312.34,314.12,311.31,313.51,658.9,1627516799999,206094.7613,874,229.97,71912.5578,0
21,1627516800000,313.48,313.72,309.4,309.41,549.14,1627520399999,170845.9143,1063,267.2,83125.4864,0
22,1627520400000,309.38,311.61,308.11,311.0,527.07,1627523999999,163445.6804,860,389.68,120918.1826,0
23,1627524000000,310.95,313.8,310.89,312.02,757.95,1627527599999,237029.4411,650,414.66,129685.68,0
24,1627527600000,312.14,312.74,309.83,310.13,391.11,1627531199999,121567.5103,602,215.2,66892.6712,0
25,1627531200000,310.1,315.6,309.24,314.18,788.63,1627534799999,246544.716,1257,513.03,160563.5759,0
26,1627534800000,314.18,315.59,312.3,314.49,621.5,1627538399999,195102.2875,629,369.65,116063.1239,0
27,1627538400000,314.48,315.16,313.9,314.08,361.16,1627541999999,113551.5331,445,99.14,31183.3201,0
28,1627542000000,314.13,314.39,312.71,313.08,571.75,1627545599999,179382.7959,496,93.45,29324.0703,0
29,1627545600000,313.11,314.44,311.9,312.72,580.25,1627549199999,181498.4931,707,333.5,104278.0344,0
30,1627549200000,312.81,315.96,312.7,315.65,1336.6,1627552799999,421197.1257,1175,446.11,140581.956,0
31,1627552800000,315.69,315.99,313.6,314.6,449.07,1627556399999,141297.143,1250,260.48,81994.2585,0
32,1627556400000,314.49,315.04,310.4,311.24,674.93,1627559999999,211225.5754,1400,224.69,70393.1286,0
33,1627560000000,311.26,313.39,310.4,313.29,638.88,1627563599999,199303.3847,1320,255.07,79629.5367,0
34,1627563600000,313.28,314.91,312.7,314.58,750.05,1627567199999,235808.967,859,390.12,122674.9746,0
35,1627567200000,314.58,315.0,311.81,314.53,975.71,1627570799999,306103.0319,1570,324.71,101954.4386,0
36,1627570800000,314.56,314.95,313.25,314.01,421.46,1627574399999,132447.8255,1161,190.19,59786.9019,0
37,1627574400000,314.02,315.28,313.67,314.26,486.29,1627577999999,152883.5173,1487,176.82,55603.6624,0
38,1627578000000,314.24,315.47,313.91,314.08,270.26,1627581599999,85016.1999,1384,127.32,40069.1463,0
39,1627581600000,314.08,314.2,312.53,312.76,589.81,1627585199999,184766.9956,1306,252.26,79044.6749,0
40,1627585200000,312.73,313.53,312.21,313.17,303.07,1627588799999,94796.6904,1124,200.88,62832.4016,0
41,1627588800000,313.14,314.59,312.77,314.44,599.83,1627592399999,188376.6086,1459,225.86,70913.9644,0
42,1627592400000,314.42,314.66,312.95,312.95,271.66,1627595999999,85203.8719,1415,69.81,21902.727,0
43,1627596000000,312.98,314.47,312.67,314.4,380.74,1627599599999,119471.8222,1372,125.9,39513.8913,0
44,1627599600000,314.38,320.38,314.23,316.8,1390.74,1627603199999,441222.7724,1966,927.84,294368.0411,0
45,1627603200000,316.83,317.85,314.9,316.59,951.57,1627606799999,300866.2635,1850,584.99,184920.5809,0
46,1627606800000,316.61,323.21,316.14,323.09,785.94,1627610399999,251206.8211,1603,445.3,142210.5495,0
47,1627610400000,323.08,325.56,321.46,321.54,1670.49,1627613999999,540488.5249,1627,851.32,275714.3385,0
48,1627614000000,321.6,323.21,321.54,321.74,523.92,1627617599999,168845.2755,1190,174.47,56268.4563,0
49,1627617600000,321.79,322.17,319.86,321.3,415.72,1627621199999,133428.7848,1039,223.18,71611.5865,0
50,1627621200000,321.26,321.52,319.38,319.76,497.05,1627624799999,159255.4812,1208,135.94,43615.9617,0
51,1627624800000,319.77,319.78,318.27,319.57,1061.96,1627628399999,338739.2768,1032,172.22,54950.2269,0
52,1627628400000,319.57,319.72,318.41,318.89,456.36,1627631999999,145608.6286,955,125.67,40109.9457,0
53,1627632000000,318.9,318.92,308.15,311.61,1979.92,1627635599999,621024.9976,2826,742.96,234202.7213,0
54,1627635600000,311.5,312.59,306.01,309.54,2230.63,1627639199999,689589.8782,2571,1199.6,371170.7272,0
55,1627639200000,309.42,310.5,306.83,310.21,1098.55,1627642799999,339309.4463,1094,302.05,93334.0015,0
