,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1610434800000,36060.5,36615.1,35714.0,36433.4,44.903,1610438399999,1613561.7826,342,28.416,1019287.8692,0
1,1610438400000,36453.3,36496.1,35510.8,35778.9,34.193,1610441999999,1230397.1291,368,18.466,664293.6151,0
2,1610442000000,35787.8,36130.2,35482.2,35935.4,30.476,1610445599999,1093006.0207,330,12.327,441540.0446,0
3,1610445600000,35924.4,36105.7,34790.7,35061.2,28.601,1610449199999,1008649.7693,315,21.1,743480.569,0
4,1610449200000,35138.1,35766.7,35134.0,35369.2,27.161,1610452799999,962148.0551,302,6.98,247199.1007,0
5,1610452800000,35350.9,35861.0,34848.2,34998.1,29.814,1610456399999,1051230.6311,334,17.008,600022.3051,0
6,1610456400000,34987.6,35343.1,33214.4,33214.4,34.5,1610459999999,1187552.7773,440,12.85,442948.7958,0
7,1610460000000,33320.2,33980.4,32520.4,33367.6,55.814,1610463599999,1858883.8693,606,25.891,862568.8393,0
8,1610463600000,33461.0,34269.0,33454.8,33796.1,33.06,1610467199999,1119385.4459,384,15.259,516432.3639,0
9,1610467200000,33798.1,34965.8,33798.1,34936.9,29.802,1610470799999,1028767.4285,352,17.677,610613.921,0
10,1610470800000,34966.6,35301.1,34529.2,34973.8,35.787,1610474399999,1247352.118,428,18.83,656438.0833,0
11,1610474400000,34952.9,35506.6,34788.8,34978.7,32.421,1610477999999,1138066.3455,380,14.177,498149.1388,0
12,1610478000000,34998.1,35000.1,34137.5,34648.8,31.308,1610481599999,1083277.8938,379,10.693,370638.5784,0
13,1610481600000,34581.7,34628.7,33544.7,34259.8,41.618,1610485199999,1417887.2563,482,26.244,894960.3961,0
14,1610485200000,34212.4,34828.7,33690.6,34661.3,32.507,1610488799999,1112938.7674,376,13.232,453824.5396,0
15,1610488800000,34653.5,35180.3,33353.3,33609.2,41.241,1610492399999,1413864.4753,540,25.287,868370.9784,0
16,1610492400000,33655.6,34053.8,33272.8,34021.1,33.717,1610495999999,1133463.9236,448,18.636,626815.3392,0
17,1610496000000,33877.8,33878.2,32346.7,32402.7,31.635,1610499599999,1045977.6117,407,13.651,451142.5838,0
18,1610499600000,32362.9,33170.0,32362.9,33070.7,35.166,1610503199999,1155367.2026,415,14.299,470291.7677,0
19,1610503200000,33064.1,33466.3,32542.6,32981.9,32.465,1610506799999,1070811.7412,373,12.892,425540.2332,0
20,1610506800000,32987.0,34318.8,32943.1,33764.7,35.465,1610510399999,1198536.5376,567,21.418,723957.6117,0
21,1610510400000,33813.9,33862.8,33066.9,33126.6,32.31,1610513999999,1080193.0868,380,13.573,453684.9261,0
22,1610514000000,33126.6,33477.5,32743.0,33269.1,32.604,1610517599999,1080381.6043,441,16.45,546092.2212,0
23,1610517600000,33267.0,34195.6,33189.8,33724.2,29.735,1610521199999,1002176.2206,399,13.017,439484.1395,0
24,1610521200000,33762.3,35116.0,33708.3,34938.4,31.229,1610524799999,1075992.2053,395,13.611,468171.1355,0
25,1610524800000,34951.6,35014.3,34300.0,34504.6,32.415,1610528399999,1122875.9855,393,9.825,340895.5738,0
26,1610528400000,34488.9,35054.7,34173.2,34303.4,34.069,1610531999999,1180508.6963,420,13.411,464093.2428,0
27,1610532000000,34337.8,34980.0,34294.6,34851.2,32.197,1610535599999,1116408.1713,431,12.487,433375.1783,0
