,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1567962000000,10000.0,10000.0,10000.0,10000.0,0.002,1567965599999,20.0,2,0.001,10.0,0
1,1567965600000,10000.0,10000.0,10000.0,10000.0,0.0,1567969199999,0.0,0,0.0,0.0,0
2,1567969200000,10344.77,10357.53,10337.43,10340.12,471.659,1567972799999,4879792.35614,562,0.0,0.0,0
3,1567972800000,10340.12,10368.64,10334.54,10351.42,583.271,1567976399999,6037732.6259,731,0.034,351.97117,0
4,1567976400000,10351.42,10391.9,10324.77,10391.9,689.759,1567979999999,7136798.50523,827,0.004,41.385,0
5,1567980000000,10392.59,10412.65,10375.58,10375.58,675.394,1567983599999,7020272.87987,821,0.0,0.0,0
6,1567983600000,10375.58,10392.25,10366.57,10391.63,676.206,1567987199999,7021684.08263,811,0.0,0.0,0
7,1567987200000,10391.63,10391.63,10391.63,10391.63,0.0,1567990799999,0.0,0,0.0,0.0,0
8,1567990800000,10391.63,10391.63,10391.63,10391.63,0.0,1567994399999,0.0,0,0.0,0.0,0
9,1567994400000,10316.62,10316.65,10294.29,10296.04,96.462,1567997999999,994913.5783,112,0.0,0.0,0
10,1567998000000,10295.81,10316.68,10267.37,10297.89,682.987,1568001599999,7035936.52531,789,0.0,0.0,0
11,1568001600000,10297.89,10316.33,10251.51,10316.3,680.278,1568005199999,6998829.86825,800,0.0,0.0,0
12,1568005200000,10316.3,10316.34,10299.8,10304.32,671.524,1568008799999,6923746.52835,838,0.001,10.30921,0
13,1568008800000,10304.32,10305.51,10252.36,10256.09,680.52,1568012399999,7000049.21327,787,0.0,0.0,0
14,1568012400000,10260.16,10273.71,10092.71,10149.47,632.467,1568015999999,6444656.97444,694,0.0,0.0,0
15,1568016000000,10149.47,10170.74,10077.22,10147.84,1160.043,1568019599999,11767567.60192,1376,0.001,10.1569,0
16,1568019600000,10147.84,10267.74,10143.68,10248.89,274.673,1568023199999,2797795.41903,311,0.0,0.0,0
17,1568023200000,10249.57,10256.18,10196.76,10253.25,384.383,1568026799999,3930827.3419,347,0.0,0.0,0
18,1568026800000,10247.69,10475.54,10222.75,10414.6,647.386,1568030399999,6717546.96884,390,280.131,2915757.25034,0
19,1568030400000,10411.7,10411.7,10349.89,10356.75,844.568,1568033999999,8773026.60503,427,416.569,4327214.58884,0
20,1568034000000,10356.61,10389.12,10317.61,10322.37,872.928,1568037599999,9033564.90308,443,463.508,4796854.37502,0
21,1568037600000,10327.06,10363.82,10302.69,10337.55,830.825,1568041199999,8584177.19507,448,439.674,4543496.34973,0
22,1568041200000,10333.86,10363.66,10308.84,10314.26,837.694,1568044799999,8652721.08945,420,434.72,4490888.96877,0
23,1568044800000,10314.26,10333.55,10183.31,10255.44,1126.982,1568048399999,11563066.75109,506,748.411,7678996.67702,0
24,1568048400000,10253.31,10296.3,10235.3,10263.33,913.252,1568051999999,9373905.81204,451,500.499,5138046.72137,0
25,1568052000000,10261.38,10288.82,10250.56,10255.58,918.219,1568055599999,9428893.62252,486,448.156,4602554.73895,0
26,1568055600000,10255.58,10323.13,10237.17,10308.87,956.876,1568059199999,9824621.27309,474,557.724,5727151.87261,0
27,1568059200000,10307.8,10420.65,10228.28,10233.85,726.047,1568062799999,7476354.55643,337,332.034,3418940.66818,0
28,1568062800000,10229.48,10343.79,10229.48,10289.48,516.808,1568066399999,5308976.2519,366,480.554,4937457.99994,0
29,1568066400000,10289.48,10358.69,10289.48,10358.69,296.634,1568069999999,3062996.26917,268,296.634,3062996.26917,0
30,1568070000000,10347.5,10382.64,10304.8,10307.0,72.817,1568073599999,753035.22305,226,53.835,557018.27586,0
31,1568073600000,10307.0,10373.14,10307.0,10338.61,197.31,1568077199999,2042308.9508,339,164.635,1704482.72684,0
32,1568077200000,10336.92,10382.97,10328.53,10328.53,322.633,1568080799999,3344060.9848,368,225.573,2338204.28434,0
33,1568080800000,10328.04,10356.14,10281.43,10281.43,546.28,1568084399999,5642315.53547,557,496.692,5130011.07221,0
34,1568084400000,10285.58,10320.45,10266.61,10307.25,481.232,1568087999999,4955126.42852,488,414.005,4263051.66183,0
35,1568088000000,10309.17,10329.24,10304.57,10305.21,513.665,1568091599999,5295487.58033,580,490.935,5061040.39212,0
36,1568091600000,10305.21,10306.67,10251.86,10262.85,312.001,1568095199999,3209239.86367,361,290.892,2992522.46617,0
37,1568095200000,10263.35,10271.65,10226.81,10265.96,449.925,1568098799999,4613470.79408,416,404.271,4145426.16589,0
38,1568098800000,10265.96,10304.82,10240.25,10272.46,430.492,1568102399999,4422442.76368,364,411.579,4228207.9637,0
39,1568102400000,10271.93,10286.15,10247.2,10256.08,374.454,1568105999999,3843722.91803,355,332.883,3417046.91664,0
40,1568106000000,10255.76,10290.01,10206.87,10248.67,356.75,1568109599999,3656178.83037,347,306.876,3145042.43342,0
41,1568109600000,10255.07,10280.9,10222.99,10240.32,358.313,1568113199999,3673689.25226,319,336.516,3450125.38356,0
