,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1574838000000,146.0,146.0,146.0,146.0,0.01,1574841599999,1.46,1,0.0,0.0,0
1,1574841600000,125.03,145.01,125.03,133.0,0.08,1574845199999,10.9204,5,0.01,1.4501,0
2,1574845200000,133.0,133.0,133.0,133.0,0.0,1574848799999,0.0,0,0.0,0.0,0
3,1574848800000,142.2,144.52,142.1,142.62,2832.71,1574852399999,404054.1644,387,2595.49,370243.1471,0
4,1574852400000,142.7,146.92,142.22,146.58,9079.8,1574855999999,1312099.692,1107,5932.53,853652.5951,0
5,1574856000000,146.53,149.34,145.73,147.38,7587.04,1574859599999,1121123.8548,1056,903.41,133572.3683,0
6,1574859600000,147.38,148.51,147.26,148.26,8692.13,1574863199999,1286183.6835,934,3118.09,461276.0901,0
7,1574863200000,148.35,149.14,146.8,147.65,9644.84,1574866799999,1423566.9203,920,1142.85,169063.7241,0
8,1574866800000,147.61,151.64,147.32,150.65,8928.03,1574870399999,1329847.5437,998,802.76,119597.6458,0
9,1574870400000,150.72,153.58,148.33,152.6,9478.53,1574873999999,1423684.9333,1128,731.07,109994.2944,0
10,1574874000000,152.94,154.93,152.06,153.63,9082.12,1574877599999,1393589.8767,1180,778.39,119492.0731,0
11,1574877600000,153.66,155.5,152.84,153.03,7819.33,1574881199999,1202070.8,899,826.79,127115.4527,0
12,1574881200000,153.01,154.92,152.84,153.87,8705.97,1574884799999,1339863.8419,923,5640.37,868721.0789,0
13,1574884800000,153.84,155.66,152.91,153.23,9246.32,1574888399999,1425752.1275,949,8523.4,1314312.1025,0
14,1574888400000,153.13,153.71,152.03,153.44,8738.5,1574891999999,1336380.9864,898,7978.89,1220254.9762,0
15,1574892000000,153.29,154.29,152.63,152.63,7622.78,1574895599999,1169985.7638,854,6720.02,1031461.9211,0
16,1574895600000,152.61,153.5,152.3,152.52,8453.65,1574899199999,1292215.4146,904,7589.54,1160155.4277,0
17,1574899200000,154.29,154.47,154.21,154.21,36.52,1574902799999,5635.9579,6,20.25,3126.5406,0
18,1574902800000,154.23,154.23,146.41,146.62,2207.0,1574906399999,335773.7335,705,236.24,36301.0299,0
19,1574906400000,147.86,156.52,147.86,150.62,1467.27,1574909999999,221465.8668,776,351.47,54392.5311,0
20,1574910000000,150.62,153.09,150.43,152.03,4733.42,1574913599999,720314.872,824,1007.37,153355.0836,0
21,1574913600000,151.93,152.45,151.16,151.49,4319.32,1574917199999,655350.9605,801,1294.27,196414.7601,0
22,1574917200000,151.46,151.83,150.18,151.15,5465.57,1574920799999,825186.8616,866,1247.34,188392.3763,0
23,1574920800000,151.15,153.02,150.45,152.17,5652.59,1574924399999,857811.6221,862,1198.56,182019.0351,0
24,1574924400000,152.17,152.72,151.47,151.98,5889.24,1574927999999,896408.8125,858,1099.53,167383.1943,0
25,1574928000000,152.04,152.76,151.47,152.7,6100.715,1574931599999,928976.24966,865,1116.349,170023.91555,0
26,1574931600000,152.7,152.72,151.24,152.21,5234.2,1574935199999,795742.2348,883,1306.615,198686.01901,0
27,1574935200000,152.14,152.14,149.63,150.81,5436.88,1574938799999,819489.9801,877,1249.94,188384.9791,0
28,1574938800000,150.81,151.75,150.45,151.43,4931.9,1574942399999,744285.704,836,1306.35,197186.0849,0
29,1574942400000,151.43,151.43,149.95,150.46,5998.32,1574945999999,903456.178,885,1178.14,177429.481,0
30,1574946000000,150.46,151.19,150.13,150.84,4741.79,1574949599999,715148.734,854,1291.45,194774.7365,0
31,1574949600000,150.84,151.03,150.13,150.66,5173.76,1574953199999,778974.3609,856,1167.95,175886.3771,0
32,1574953200000,150.72,154.51,150.53,153.78,5348.16,1574956799999,817957.601,951,1267.76,193662.1703,0
