,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1610424000000,36060.5,36615.1,35714.0,36433.4,44.903,1610438399999,1613561.7826,342,28.416,1019287.8692,0
1,1610438400000,36453.3,36496.1,34790.7,35369.2,120.431,1610452799999,4294200.9742,1315,58.873,2096513.3294,0
2,1610452800000,35350.9,35861.0,32520.4,33796.1,153.188,1610467199999,5217052.7236,1764,71.008,2421972.3041,0
3,1610467200000,33798.1,35506.6,33798.1,34648.8,129.318,1610481599999,4497463.7858,1539,61.377,2135839.7215,0
4,1610481600000,34581.7,35180.3,33272.8,34021.1,149.083,1610495999999,5078154.4226,1846,83.399,2843971.2533,0
5,1610496000000,33877.8,34318.8,32346.7,33764.7,134.731,1610510399999,4470693.0931,1762,62.26,2070932.1964,0
6,1610510400000,33813.9,35116.0,32743.0,34938.4,125.878,1610524799999,4238743.117,1615,56.651,1907432.4223,0
7,1610524800000,34951.6,35241.3,34173.2,34312.1,134.267,1610539199999,4656421.0988,1702,55.012,1909102.9588,0
8,1610539200000,34403.6,35052.0,33932.5,34605.3,125.903,1610553599999,4338016.635,1655,65.569,2259743.1881,0
9,1610553600000,34652.4,36147.5,34396.9,35966.2,129.841,1610567999999,4565108.128,1696,65.006,2290838.0831,0
10,1610568000000,35999.7,37763.5,35660.2,37355.7,144.839,1610582399999,5329473.0608,1974,63.744,2342068.5369,0
11,1610582400000,37451.4,38144.7,36980.0,37024.3,122.091,1610596799999,4580561.4863,1564,60.723,2278043.9055,0
12,1610596800000,37049.4,38534.1,36615.4,38212.5,139.908,1610611199999,5278942.3378,1799,71.954,2715476.6509,0
13,1610611200000,38216.9,38757.0,37898.9,38341.1,129.079,1610625599999,4943693.1185,1671,63.578,2436420.4125,0
14,1610625600000,38294.4,40132.9,37693.5,39486.4,170.924,1610639999999,6664660.3795,2473,73.169,2851865.8541,0
15,1610640000000,39510.0,39955.0,39119.2,39790.7,124.488,1610654399999,4923899.1037,1722,48.887,1933222.9309,0
16,1610654400000,39788.2,39870.6,38226.0,39091.6,182.238,1610668799999,7092810.1922,2839,83.225,3239190.6161,0
17,1610668800000,39164.4,39703.3,38406.8,38635.9,175.141,1610683199999,6858682.1076,2664,81.602,3192612.8307,0
18,1610683200000,38632.0,38797.0,37536.2,38409.9,246.873,1610697599999,9429283.8443,3995,119.866,4579037.9023,0
19,1610697600000,38415.2,38790.0,37893.0,38018.7,212.589,1610711999999,8149808.9823,3319,104.522,4008274.5232,0
20,1610712000000,38051.5,38142.2,34993.3,35530.4,448.317,1610726399999,16522094.2001,6974,218.014,8040062.6388,0
21,1610726400000,35530.4,36443.2,34362.0,35184.0,785.808,1610740799999,27923879.5391,14457,374.229,13302000.6293,0
22,1610740800000,35108.4,36937.4,34800.0,36737.6,413.978,1610755199999,14825218.1616,6646,207.435,7433346.6915,0
23,1610755200000,36739.0,37632.5,35992.1,36515.5,309.239,1610769599999,11406181.03,3881,151.529,5592122.4483,0
24,1610769600000,36538.4,36964.2,35522.9,36567.0,276.915,1610783999999,10028116.7739,3452,125.46,4543891.1553,0
25,1610784000000,36581.3,38149.1,36395.4,37677.8,278.827,1610798399999,10418875.9745,3552,135.835,5078293.7717,0
