,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1629244800000,0.29095,0.32559,0.28407,0.30336,55949782.0,1629331199999,17384177.51018,42673,17233045.0,5275920.78793,0
1,1629331200000,0.30382,0.31972,0.29391,0.3182,77874448.0,1629417599999,23769115.30863,67410,27504420.0,8436718.31847,0
2,1629417600000,0.31832,0.33415,0.31423,0.32748,120455776.0,1629503999999,38985036.27484,81043,39884823.0,12900085.47907,0
3,1629504000000,0.3275,0.33157,0.31468,0.31724,92439012.0,1629590399999,29913791.61025,70159,36741509.0,11869034.51252,0
4,1629590400000,0.31709,0.322,0.30538,0.31532,96146304.0,1629676799999,30389290.68999,52817,28231372.0,8886997.48903,0
5,1629676800000,0.31532,0.32998,0.31336,0.31842,86852761.0,1629763199999,27841218.42442,60146,31477988.0,10105789.60192,0
6,1629763200000,0.31837,0.32026,0.27085,0.28911,126239080.0,1629849599999,38255302.22526,54816,41622904.0,12390997.51673,0
7,1629849600000,0.289,0.29708,0.28001,0.293,110152006.0,1629935999999,31641418.65363,39873,32880873.0,9511800.23778,0
8,1629936000000,0.293,0.29657,0.2645,0.26864,134224028.0,1630022399999,36699327.14471,60308,44870866.0,12372844.18504,0
9,1630022400000,0.26856,0.29525,0.26526,0.29471,68324351.0,1630108799999,19150952.70678,43348,33303940.0,9335517.93395,0
10,1630108800000,0.29466,0.29986,0.28353,0.28633,56659236.0,1630195199999,16413984.11399,31714,27611284.0,7999773.59872,0
11,1630195200000,0.28634,0.29227,0.27688,0.28135,45118731.0,1630281599999,12742133.12817,27319,22598727.0,6381972.28335,0
12,1630281600000,0.28135,0.29097,0.27,0.27217,56987553.0,1630367999999,15942134.82366,39304,28133026.0,7871789.297,0
13,1630368000000,0.27211,0.28618,0.27002,0.27854,60166332.0,1630454399999,16706711.80512,53700,28375224.0,7881828.15062,0
14,1630454400000,0.27854,0.29538,0.27324,0.29485,65389608.0,1630540799999,18603914.82833,55440,33343847.0,9485109.12968,0
15,1630540800000,0.29486,0.3102,0.29231,0.29482,100503421.0,1630627199999,30239843.56758,71999,47496492.0,14294225.69038,0
16,1630627200000,0.29495,0.30534,0.28714,0.29659,80615962.0,1630713599999,23957109.46744,61209,38986505.0,11586471.49002,0
17,1630713600000,0.2966,0.30936,0.29356,0.29984,86464848.0,1630799999999,25982058.36269,72921,43475857.0,13063707.68967,0
18,1630800000000,0.29995,0.31605,0.29657,0.31486,77006679.0,1630886399999,23487169.32196,73724,37646621.0,11487008.49514,0
19,1630886400000,0.31486,0.32086,0.3,0.30943,80243423.0,1630972799999,24936129.62836,67747,37227328.0,11572862.4578,0
20,1630972800000,0.30944,0.31178,0.2049,0.25536,202712208.0,1631059199999,54092332.85217,143932,93322244.0,24917994.50074,0
21,1631059200000,0.25542,0.26352,0.23331,0.25663,108912321.0,1631145599999,27200071.40956,67998,53270483.0,13323146.81977,0
22,1631145600000,0.25656,0.25971,0.24871,0.25267,54760980.0,1631231999999,13940585.31431,35284,28446587.0,7243527.67415,0
23,1631232000000,0.25263,0.2621,0.23544,0.23976,66526948.0,1631318399999,16509954.33131,54239,32905582.0,8163563.97294,0
24,1631318400000,0.23987,0.248,0.2377,0.241,65294119.0,1631404799999,15840082.29281,41088,32072121.0,7782343.03514,0
25,1631404800000,0.24101,0.25534,0.23891,0.25044,53908213.0,1631491199999,13205800.55193,39986,29470445.0,7217745.45671,0
26,1631491200000,0.25048,0.25241,0.22812,0.23593,52619284.0,1631577599999,12516591.42962,54030,25290591.0,6019595.54261,0
27,1631577600000,0.236,0.24175,0.23368,0.24076,39117085.0,1631663999999,9304052.17476,35824,21480398.0,5111133.0092,0
28,1631664000000,0.24068,0.24852,0.23903,0.24781,41441910.0,1631750399999,10084617.90998,39082,21229047.0,5161216.47405,0
29,1631750400000,0.2479,0.24808,0.2333,0.2421,56603609.0,1631836799999,13690375.54215,44927,26654650.0,6447871.71917,0
