,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1629244800000,0.29095,0.29797,0.28937,0.29785,376178.0,1629259199999,110985.16803,2232,251172.0,74054.21449,0
1,1629259200000,0.29797,0.30571,0.29283,0.29615,2522865.0,1629273599999,754308.14916,5294,1277112.0,382283.75588,0
2,1629273600000,0.29582,0.30145,0.2857,0.28641,5097925.0,1629287999999,1503921.96209,6766,2263824.0,667717.0382,0
3,1629288000000,0.286,0.31949,0.28407,0.31866,8019830.0,1629302399999,2415068.25933,8555,3853936.0,1157305.6827,0
4,1629302400000,0.31883,0.32559,0.29936,0.30213,32956069.0,1629316799999,10492555.77209,13420,6455323.0,2047094.53955,0
5,1629316800000,0.30237,0.31239,0.29167,0.30336,6976915.0,1629331199999,2107338.19948,6406,3131678.0,947465.55711,0
6,1629331200000,0.30382,0.31215,0.29566,0.29774,8467664.0,1629345599999,2575154.9642,8949,4119415.0,1253786.10248,0
7,1629345600000,0.2976,0.30274,0.29391,0.30045,6184687.0,1629359999999,1850017.16776,7531,2840549.0,849840.86321,0
8,1629360000000,0.30047,0.30478,0.29652,0.29673,26294390.0,1629374399999,7896479.75491,11970,3215569.0,966509.36663,0
9,1629374400000,0.29664,0.30857,0.29522,0.30754,9534370.0,1629388799999,2894528.25966,12812,5009814.0,1519644.69509,0
10,1629388800000,0.30754,0.31534,0.30005,0.31234,14186485.0,1629403199999,4387850.25929,13265,6165766.0,1906165.44499,0
11,1629403200000,0.31236,0.31972,0.31145,0.3182,13206852.0,1629417599999,4165084.90281,12883,6153307.0,1940771.84607,0
12,1629417600000,0.31832,0.32704,0.31423,0.31669,18813572.0,1629431999999,6023662.74376,16216,9057807.0,2901227.30787,0
13,1629432000000,0.3168,0.32363,0.31468,0.31748,13075999.0,1629446399999,4172344.80021,12458,5807497.0,1853308.26589,0
14,1629446400000,0.31758,0.32248,0.31608,0.31794,26963332.0,1629460799999,8624030.66014,11763,3922463.0,1253800.52228,0
15,1629460800000,0.31792,0.33415,0.31762,0.33057,37288981.0,1629475199999,12244938.16572,16844,9709969.0,3180439.41862,0
16,1629475200000,0.33065,0.33191,0.31762,0.327,14697882.0,1629489599999,4782636.71218,14103,6801222.0,2214817.00203,0
17,1629489600000,0.32706,0.32932,0.32234,0.32748,9616010.0,1629503999999,3137423.19283,9659,4585865.0,1496492.96238,0
18,1629504000000,0.3275,0.32783,0.3201,0.32612,9070356.0,1629518399999,2934793.77019,9274,4369898.0,1413523.8946,0
19,1629518400000,0.32616,0.32754,0.32126,0.32683,8824434.0,1629532799999,2867317.17052,10551,4572987.0,1486448.79955,0
20,1629532800000,0.3269,0.33157,0.31468,0.31988,37417586.0,1629547199999,12141770.17405,17722,8739650.0,2819127.49253,0
