,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1623801600000,2493.19,2578.98,2142.53,2365.41,3750.801,1623887999999,9198309.61414,16620,1988.515,4900651.95613,0
1,1623888000000,2365.2,2459.45,2305.16,2371.38,5456.596,1623974399999,12982657.9516,54143,2738.234,6519554.20405,0
2,1623974400000,2371.52,2375.67,2135.8,2231.6,13433.499,1624060799999,30139761.97027,75497,6363.785,14292831.49111,0
3,1624060800000,2231.89,2279.6,2160.6,2163.72,12997.874,1624147199999,28919261.01328,84303,6659.864,14824480.34596,0
4,1624147200000,2164.38,2276.5,2040.75,2242.78,17914.093,1624233599999,38434345.91994,78403,8695.999,18668166.46457,0
5,1624233600000,2242.88,2261.6,1864.95,1884.92,45195.222,1624319999999,90450073.07235,167159,23216.292,46548180.66673,0
6,1624320000000,1884.67,1996.64,1700.0,1878.85,48948.517,1624406399999,91173546.87317,173166,24683.865,45969038.15502,0
7,1624406400000,1877.32,2043.85,1821.37,1966.11,29902.522,1624492799999,58956171.60363,107911,15312.185,30181684.95085,0
8,1624492800000,1966.85,2035.62,1884.43,1988.65,21989.511,1624579199999,43141767.77614,87040,11117.964,21805981.82098,0
9,1624579200000,1990.0,2019.23,1788.11,1808.59,43303.373,1624665599999,81125308.73172,139040,21090.45,39521098.00223,0
10,1624665600000,1808.57,1851.1,1715.8,1829.25,45970.121,1624751999999,81615070.67911,130736,24072.794,42747541.53451,0
11,1624752000000,1829.0,1983.7,1805.02,1981.0,38273.072,1624838399999,71107788.72042,122412,19738.512,36703128.62745,0
12,1624838400000,1980.77,2145.99,1960.41,2083.04,47925.33,1624924799999,98396905.44258,152903,23603.838,48462176.57828,0
13,1624924800000,2083.14,2244.0,2073.18,2164.62,43133.802,1625011199999,93607598.17817,180925,21741.876,47199787.41253,0
14,1625011200000,2164.35,2288.54,2088.89,2274.25,54442.611,1625097599999,117971208.28701,211824,26813.339,58158516.42868,0
15,1625097600000,2274.39,2274.46,2061.2,2106.13,47321.704,1625183999999,101404760.06965,204317,22938.106,49132783.37992,0
16,1625184000000,2106.03,2158.86,2016.97,2152.37,44005.684,1625270399999,91334066.6029,184468,22856.668,47449333.28645,0
17,1625270400000,2152.79,2238.2,2112.16,2226.48,30643.124,1625356799999,67246103.2936,160557,15804.684,34709183.94466,0
18,1625356800000,2226.78,2388.92,2188.7,2321.83,37457.725,1625443199999,86478601.77118,163630,18979.104,43774519.77208,0
19,1625443200000,2321.83,2323.25,2156.0,2195.08,61083.923,1625529599999,136898547.45018,259835,29594.427,66318974.78956,0
20,1625529600000,2195.16,2348.92,2189.1,2321.94,66551.219,1625615999999,152537708.15859,299296,33601.638,77044476.4758,0
21,1625616000000,2321.85,2409.65,2292.76,2315.24,49484.656,1625702399999,116677959.2106,200009,23573.387,55604986.11768,0
22,1625702400000,2315.2,2324.15,2084.27,2114.9,74947.49,1625788799999,163746562.8837,309024,36622.644,79984357.96952,0
23,1625788800000,2115.08,2189.2,2046.77,2147.18,68440.987,1625875199999,145200780.89429,257793,35465.035,75276487.36562,0
24,1625875200000,2147.18,2194.04,2073.88,2110.11,57185.073,1625961599999,120979902.74454,225147,28503.069,60325842.9814,0
25,1625961600000,2110.18,2174.0,2080.69,2140.22,42521.268,1626047999999,90237581.48969,193343,21912.024,46528835.23679,0
26,1626048000000,2140.28,2167.28,2006.03,2031.33,59238.75,1626134399999,123098341.04285,184751,28615.197,59472526.39188,0
27,1626134400000,2031.73,2046.1,1915.99,1940.43,64832.379,1626220799999,128871098.71771,166573,32194.353,64016207.90382,0
28,1626220800000,1940.14,2018.44,1862.26,1994.35,68244.823,1626307199999,132437127.95545,216148,34444.899,66871440.29794,0
29,1626307200000,1994.16,2040.49,1880.0,1919.4,77205.883,1626393599999,149291273.95133,224509,38171.752,73856234.85297,0
30,1626393600000,1919.05,1965.2,1847.6,1876.4,79929.084,1626479999999,152128621.36231,200422,41293.337,78637091.59484,0
31,1626480000000,1876.39,1920.0,1843.3,1898.33,70792.077,1626566399999,133330495.68684,188191,36174.578,68167252.09299,0
32,1626566400000,1898.51,1994.6,1875.23,1890.37,82023.547,1626652799999,158783315.30914,236990,41179.404,79799545.45389,0
33,1626652800000,1890.52,1917.6,1802.47,1818.17,87527.774,1626739199999,162012161.6636,262067,43011.079,79666609.06789,0
34,1626739200000,1818.19,1841.79,1716.55,1784.69,131446.449,1626825599999,231868106.25326,354680,65673.428,115881727.29152,0
35,1626825600000,1784.8,2034.97,1752.88,1995.12,131060.212,1626911999999,249654386.68519,413766,68053.851,129669232.19083,0
36,1626912000000,1995.12,2046.51,1944.39,2023.43,104122.878,1626998399999,208002026.60348,327052,52352.482,104629869.76917,0
37,1626998400000,2023.82,2131.93,1993.0,2124.12,77354.532,1627084799999,158888659.80848,266169,38773.915,79701341.17635,0
38,1627084800000,2124.18,2197.83,2105.31,2183.7,69201.996,1627171199999,148624257.87148,278626,35479.763,76230604.98228,0
39,1627171200000,2184.06,2196.92,2107.0,2189.66,77161.418,1627257599999,166210126.07776,287299,38858.997,83731668.90379,0
40,1627257600000,2189.82,2434.76,2171.2,2227.14,169637.03,1627343999999,391801138.95923,507566,82760.441,191173150.2188,0
41,1627344000000,2227.02,2319.4,2150.0,2298.82,115628.867,1627430399999,258684616.26338,424960,57475.67,128618942.42373,0
42,1627430400000,2298.73,2345.4,2242.36,2299.36,90684.656,1627516799999,208170051.65579,356514,45139.879,103659702.43744,0
43,1627516800000,2299.8,2401.33,2265.41,2381.96,63872.053,1627603199999,148230566.61131,252616,33146.268,76970196.00472,0
44,1627603200000,2382.15,2474.27,2316.94,2462.11,96900.086,1627689599999,231493897.84709,307010,49151.932,117487520.65652,0
45,1627689600000,2461.96,2553.88,2420.73,2531.15,55474.506,1627775999999,137066352.18054,227105,28251.184,69833394.34202,0
46,1627776000000,2531.19,2698.45,2513.1,2554.97,95924.881,1627862399999,249284403.12526,303942,47267.355,122848903.36036,0
47,1627862400000,2555.19,2665.24,2507.0,2606.98,84995.009,1627948799999,220832212.46109,304875,41466.194,107761802.05377,0
48,1627948800000,2607.24,2633.08,2435.98,2506.92,132151.573,1628035199999,330887197.34765,370672,64225.174,160789370.26415,0
49,1628035200000,2506.93,2773.0,2458.24,2724.91,156397.119,1628121599999,409353574.67967,389047,80283.707,210127996.23482,0
