,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1630627200000,133.432,149.113,133.165,146.512,337814.0,1630713599999,48122792.929,57767,161267.0,22998300.202,0
1,1630713600000,146.473,150.958,136.099,139.254,426067.0,1630799999999,61352605.487,76878,197657.0,28504136.214,0
2,1630800000000,139.359,145.333,135.07,142.253,409574.0,1630886399999,57549042.449,88042,193257.0,27167581.103,0
3,1630886400000,142.237,166.201,137.141,164.389,856808.0,1630972799999,130643272.524,118764,431584.0,65934019.072,0
4,1630972800000,164.37,195.5,132.55,173.635,3130718.0,1631059199999,555677234.58,619251,1537260.0,273042831.786,0
5,1631059200000,173.664,198.435,146.859,190.999,1704401.0,1631145599999,291820482.478,337088,855111.0,146661392.685,0
6,1631145600000,190.999,219.326,180.186,187.901,1460726.0,1631231999999,293229959.625,308302,699922.0,140552000.628,0
7,1631232000000,187.998,197.629,167.904,179.725,1138061.0,1631318399999,204711160.484,213998,538640.0,97074405.702,0
8,1631318400000,179.669,195.579,175.244,179.244,835235.0,1631404799999,153578117.572,161269,409544.0,75337641.103,0
9,1631404800000,179.256,181.771,170.25,174.413,462182.0,1631491199999,81915207.358,86003,221149.0,39228859.972,0
10,1631491200000,174.387,175.0,150.215,169.683,1021461.0,1631577599999,164289138.485,171339,485735.0,78131903.993,0
11,1631577600000,169.65,171.956,142.586,158.778,1133919.0,1631663999999,178626629.678,170116,533037.0,84019403.8,0
12,1631664000000,158.905,166.666,153.688,158.92,740266.0,1631750399999,118402470.607,108988,353632.0,56608603.347,0
13,1631750400000,158.99,163.302,147.52,152.412,713544.0,1631836799999,111336576.958,101649,343225.0,53617708.606,0
14,1631836800000,152.38,153.771,134.105,147.61,1032153.0,1631923199999,147362780.135,141107,498209.0,71118760.041,0
15,1631923200000,147.777,171.556,144.284,169.21,1088536.0,1632009599999,172964728.928,154383,536900.0,85348844.91,0
16,1632009600000,169.222,171.017,150.665,152.956,773128.0,1632095999999,124045716.704,117628,375786.0,60304747.007,0
17,1632096000000,152.931,153.551,130.269,132.85,1801133.0,1632182399999,253358541.919,237685,878231.0,123572719.424,0
18,1632182400000,132.897,144.7,115.81,124.219,1806647.0,1632268799999,240294276.802,222512,895604.0,119128726.397,0
19,1632268800000,124.191,151.362,122.034,148.067,1347185.0,1632355199999,183609201.508,165800,657513.0,89597330.234,0
20,1632355200000,147.937,152.383,143.075,149.925,858935.0,1632441599999,126949952.198,112663,428294.0,63313065.487,0
21,1632441600000,149.986,151.3,128.247,139.269,1104760.0,1632527999999,152857348.186,166907,543249.0,75178272.483,0
22,1632528000000,139.198,144.16,133.58,136.144,660984.0,1632614399999,91949453.976,93337,325022.0,45222194.386,0
23,1632614400000,136.178,140.829,124.816,135.69,1023166.0,1632700799999,136339539.449,132628,504227.0,67227642.487,0
24,1632700800000,135.667,148.999,133.804,136.415,1098672.0,1632787199999,156376836.201,133941,547232.0,77921818.817,0
25,1632787200000,136.349,139.34,128.09,132.142,965270.0,1632873599999,129394624.491,135043,470979.0,63139115.526,0
26,1632873600000,132.118,140.136,131.131,135.349,833047.0,1632959999999,113640560.498,113612,413338.0,56400435.334,0
27,1632960000000,135.269,142.9,133.94,141.32,850877.0,1633046399999,117759077.206,122959,420514.0,58195680.33,0
