,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1630641600000,133.432,147.822,133.165,144.615,42218.0,1630655999999,5992714.003,9084,21926.0,3113210.458,0
1,1630656000000,144.71,145.29,136.5,139.616,84725.0,1630670399999,11988490.134,13849,37793.0,5352539.519,0
2,1630670400000,139.639,144.352,138.08,140.26,65479.0,1630684799999,9210060.592,11050,31257.0,4399664.235,0
3,1630684800000,140.239,143.539,138.632,143.141,53750.0,1630699199999,7604861.704,9962,24382.0,3451484.116,0
4,1630699200000,143.052,149.113,141.092,146.512,91642.0,1630713599999,13326666.496,13822,45909.0,6681401.874,0
5,1630713600000,146.473,150.958,145.113,148.572,95251.0,1630727999999,14149937.274,13809,46049.0,6848769.348,0
6,1630728000000,148.475,149.8,145.156,146.124,50244.0,1630742399999,7418050.656,8990,24297.0,3588726.497,0
7,1630742400000,146.123,147.824,140.804,141.936,75990.0,1630756799999,10978625.357,13231,34073.0,4929324.533,0
8,1630756800000,141.845,144.666,139.716,142.666,74081.0,1630771199999,10524929.0,13341,36026.0,5121147.246,0
9,1630771200000,142.641,143.178,136.099,139.196,69404.0,1630785599999,9668787.379,14160,29271.0,4079053.405,0
10,1630785600000,139.098,142.399,138.59,139.254,61097.0,1630799999999,8612275.821,13347,27941.0,3937115.185,0
11,1630800000000,139.359,145.333,138.223,140.98,79593.0,1630814399999,11362523.257,19026,38830.0,5544507.2,0
12,1630814400000,140.935,142.258,139.134,139.372,43458.0,1630828799999,6107629.492,11541,21118.0,2969120.7,0
13,1630828800000,139.395,142.132,139.357,140.791,57842.0,1630843199999,8148895.221,13472,25982.0,3661284.694,0
14,1630843200000,140.8,140.901,135.07,136.585,68940.0,1630857599999,9516998.502,14646,29511.0,4074416.399,0
15,1630857600000,136.59,139.259,135.653,138.165,61005.0,1630871999999,8390612.862,13724,29934.0,4118873.917,0
16,1630872000000,138.172,145.189,137.27,142.253,98736.0,1630886399999,14022383.115,15633,47882.0,6799378.193,0
17,1630886400000,142.237,143.758,139.796,141.226,75286.0,1630900799999,10686924.303,12394,36104.0,5126859.255,0
18,1630900800000,141.2,147.182,140.4,146.195,82649.0,1630915199999,11942433.546,11389,41613.0,6014575.738,0
19,1630915200000,146.262,146.946,141.666,142.74,62067.0,1630929599999,8974739.634,9417,28035.0,4056811.441,0
